a,1
able,1
about,1
above,1
absolute,1
accept,1
across,1
act,1
actual,1
add,1
address,1
admit,1
advertise,1
afford,1
afraid,1
after,1
afternoon,1
again,1
against,1
age,1
ago,1
agree,1
ahead,1
air,1
all,1
allow,1
almost,1
alone,1
along,1
already,1
alright,1
also,1
although,1
always,1
amaze,1
among,1
amount,1
and,1
angry,1
animal,1
another,1
answer,1
any,1
apart,1
apparent,1
appear,1
area,1
arm,1
around,1
arrange,1
arrive,1
art,1
as,1
ashamed,1
ask,1
at,1
aunt,1
autumn,1
aware,1
away,1
awful,1
baby,1
back,1
bad,1
bag,1
ball,1
bank,1
bar,1
base,1
basic,1
bath,1
be,1
beach,1
bear,1
beat,1
beauty,1
because,1
become,1
bed,1
before,1
begin,1
behind,1
believe,1
below,1
beneath,1
beside,1
best,1
bet,1
better,1
between,1
beyond,1
big,1
bill,1
billion,1
bird,1
birth,1
bit,1
black,1
blood,1
blow,1
blue,1
board,1
boat,1
body,1
bone,1
book,1
boring,1
born,1
both,1
bother,1
bottle,1
bottom,1
box,1
boy,1
bread,1
break,1
breakfast,1
breath,1
bright,1
bring,1
brother,1
brown,1
build,1
burn,1
bus,1
bush,1
business,1
busy,1
but,1
buy,1
by,1
cake,1
call,1
camp,1
can,1
car,1
card,1
care,1
carry,1
case,1
cat,1
catch,1
cause,1
centre,1
certain,1
chair,1
chance,1
change,1
charge,1
cheap,1
check,1
chicken,1
child,1
chip,1
choice,1
choose,1
christmas,1
church,1
city,1
class,1
clean,1
clear,1
climb,1
clock,1
close,1
closed,1
clothes,1
club,1
coat,1
coffee,1
cold,1
collect,1
college,1
colour,1
come,1
comfort,1
company,1
complete,1
computer,1
concern,1
consider,1
continue,1
control,1
conversation,1
cook,1
cool,1
corner,1
cost,1
could,1
count,1
country,1
couple,1
course,1
court,1
cover,1
crazy,1
crime,1
cross,1
cry,1
cup,1
cut,1
dad,1
dance,1
danger,1
dark,1
darling,1
date,1
daughter,1
day,1
dead,1
deal,1
dear,1
death,1
decide,1
deep,1
definite,1
degree,1
delicious,1
depend,1
die,1
difference,1
different,1
difficult,1
dig,1
dinner,1
dirty,1
discover,1
do,1
doctor,1
dog,1
door,1
double,1
doubt,1
down,1
draw,1
dream,1
dress,1
drink,1
drive,1
drop,1
drug,1
dry,1
during,1
each,1
ear,1
early,1
earth,1
east,1
easy,1
eat,1
edge,1
educate,1
egg,1
eight,1
either,1
eleven,1
else,1
employ,1
empty,1
end,1
engine,1
enjoy,1
enough,1
enter,1
especially,1
even,1
evening,1
ever,1
every,1
exact,1
except,1
excite,1
excuse,1
expect,1
expensive,1
experience,1
explain,1
express,1
extra,1
eye,1
face,1
fact,1
fair,1
fall,1
family,1
far,1
farm,1
fast,1
fat,1
father,1
favourite,1
fear,1
feed,1
feel,1
fellow,1
few,1
field,1
fight,1
figure,1
fill,1
film,1
final,1
find,1
fine,1
finger,1
finish,1
fire,1
first,1
fish,1
fit,1
five,1
fix,1
flat,1
floor,1
flower,1
fly,1
follow,1
food,1
foot,1
football,1
for,1
force,1
forest,1
forget,1
form,1
fortunate,1
forward,1
four,1
free,1
freeze,1
fresh,1
friday,1
friend,1
fright,1
from,1
front,1
full,1
fun,1
further,1
game,1
garden,1
gas,1
general,1
gentle,1
get,1
girl,1
give,1
glad,1
glance,1
glass,1
go,1
god,1
gold,1
good,1
goodbye,1
govern,1
grandfather,1
grass,1
great,1
green,1
grey,1
ground,1
group,1
grow,1
guess,1
gun,1
guy,1
hair,1
half,1
hall,1
hand,1
handle,1
hang,1
happen,1
happy,1
hard,1
hardly,1
hat,1
hate,1
have,1
he,1
head,1
health,1
hear,1
heart,1
heat,1
heavy,1
hell,1
hello,1
help,1
here,1
hide,1
high,1
hill,1
history,1
hit,1
hold,1
hole,1
holiday,1
home,1
honest,1
honour,1
hope,1
horrible,1
horse,1
hospital,1
hot,1
hour,1
house,1
how,1
however,1
huge,1
human,1
hundred,1
hunger,1
hunt,1
hurry,1
hurt,1
husband,1
i,1
ice,1
idea,1
if,1
imagine,1
important,1
in,1
indeed,1
inform,1
inside,1
instead,1
insure,1
interest,1
internet,1
into,1
involve,1
island,1
issue,1
it,1
job,1
join,1
joke,1
judge,1
jump,1
just,1
keep,1
key,1
kick,1
kid,1
kill,1
kind,1
king,1
kiss,1
kitchen,1
knock,1
know,1
lady,1
lake,1
land,1
large,1
last,1
late,1
laugh,1
law,1
lay,1
lazy,1
lead,1
learn,1
least,1
leave,1
left,1
leg,1
less,1
let,1
letter,1
level,1
lie,1
life,1
lift,1
light,1
like,1
line,1
lip,1
list,1
listen,1
little,1
live,1
load,1
local,1
lock,1
long,1
look,1
lord,1
lose,1
lot,1
loud,1
love,1
lovely,1
low,1
luck,1
lunch,1
machine,1
mad,1
main,1
major,1
make,1
man,1
manage,1
many,1
mark,1
market,1
marry,1
master,1
matter,1
may,1
maybe,1
meal,1
mean,1
meet,1
member,1
mention,1
mess,1
middle,1
might,1
mile,1
milk,1
million,1
mind,1
minute,1
miss,1
mistake,1
mister,1
moment,1
monday,1
money,1
month,1
more,1
morning,1
most,1
mother,1
mountain,1
mouth,1
move,1
movie,1
mrs,1
much,1
mum,1
music,1
must,1
name,1
nation,1
nature,1
naughty,1
near,1
neat,1
necessary,1
neck,1
need,1
neighbour,1
never,1
new,1
news,1
next,1
nice,1
night,1
nine,1
no,1
nobody,1
noise,1
none,1
normal,1
north,1
nose,1
not,1
note,1
nothing,1
notice,1
now,1
number,1
nurse,1
obvious,1
odd,1
of,1
off,1
offer,1
office,1
officer,1
often,1
oil,1
ok,1
old,1
on,1
once,1
one,1
only,1
open,1
or,1
orange,1
order,1
other,1
ought,1
out,1
over,1
own,1
owned,1
pack,1
page,1
pain,1
paint,1
pair,1
paper,1
pardon,1
parent,1
park,1
part,1
particular,1
party,1
pass,1
past,1
pay,1
penny,1
people,1
perfect,1
perhaps,1
person,1
photograph,1
pick,1
picture,1
piece,1
place,1
plan,1
plant,1
play,1
please,1
plenty,1
plus,1
point,1
police,1
poor,1
pop,1
position,1
possible,1
post,1
pot,1
pound,1
power,1
prepare,1
present,1
press,1
pretty,1
price,1
prince,1
prison,1
probably,1
problem,1
programme,1
promise,1
proper,1
protect,1
public,1
pull,1
push,1
put,1
quarter,1
queen,1
question,1
quick,1
quiet,1
quite,1
rabbit,1
race,1
radio,1
rain,1
raise,1
rate,1
rather,1
reach,1
read,1
ready,1
real,1
realise,1
really,1
reason,1
recent,1
record,1
red,1
relate,1
remember,1
rent,1
reply,1
report,1
responsible,1
rest,1
return,1
rich,1
rid,1
ride,1
right,1
rights,1
ring,1
rise,1
river,1
road,1
rock,1
roll,1
room,1
rough,1
round,1
rubbish,1
rule,1
run,1
sad,1
safe,1
sail,1
same,1
saturday,1
save,1
say,1
scare,1
school,1
science,1
sea,1
seat,1
second,1
secure,1
see,1
seem,1
self,1
sell,1
send,1
sense,1
serious,1
serve,1
service,1
set,1
settle,1
seven,1
several,1
sex,1
shake,1
shall,1
shape,1
share,1
she,1
ship,1
shirt,1
shoe,1
shoot,1
shop,1
short,1
should,1
shoulder,1
shout,1
show,1
shut,1
shy,1
sick,1
side,1
sight,1
sign,1
silly,1
simple,1
since,1
sing,1
single,1
sir,1
sister,1
sit,1
situation,1
six,1
size,1
skin,1
sky,1
sleep,1
slight,1
slip,1
slow,1
small,1
smell,1
smile,1
smoke,1
snow,1
so,1
soft,1
some,1
son,1
song,1
soon,1
sorry,1
sort,1
sound,1
south,1
space,1
speak,1
special,1
spend,1
sport,1
spot,1
spring,1
square,1
stage,1
stand,1
star,1
stare,1
start,1
state,1
station,1
stay,1
steal,1
step,1
stick,1
still,1
stone,1
stop,1
store,1
story,1
straight,1
strange,1
street,1
strike,1
strong,1
student,1
study,1
stuff,1
stupid,1
subject,1
such,1
sudden,1
suggest,1
suit,1
summer,1
sun,1
sunday,1
support,1
suppose,1
sure,1
surprise,1
sweet,1
swim,1
system,1
table,1
tail,1
take,1
talk,1
tall,1
tape,1
taste,1
tax,1
tea,1
teach,1
team,1
tear,1
telephone,1
television,1
tell,1
ten,1
tend,1
term,1
terrible,1
test,1
than,1
thank,1
that,1
the,1
then,1
there,1
they,1
thick,1
thing,1
think,1
thirst,1
thirteen,1
thirty,1
this,1
though,1
thousand,1
three,1
throat,1
through,1
throw,1
thursday,1
tie,1
tight,1
till,1
time,1
tire,1
to,1
today,1
together,1
tomorrow,1
tonight,1
too,1
tooth,1
top,1
total,1
touch,1
toward,1
town,1
track,1
train,1
travel,1
treat,1
tree,1
trip,1
trouble,1
true,1
trust,1
truth,1
try,1
tuesday,1
turn,1
twelve,1
twenty,1
two,1
type,1
ugly,1
uncle,1
under,1
underneath,1
understand,1
unless,1
until,1
up,1
upon,1
use,1
usual,1
van,1
very,1
video,1
view,1
visit,1
voice,1
wait,1
wake,1
walk,1
wall,1
want,1
war,1
warm,1
wash,1
waste,1
watch,1
water,1
wave,1
way,1
we,1
wear,1
weather,1
web,1
wed,1
wednesday,1
week,1
weight,1
well,1
west,1
wet,1
what,1
wheel,1
when,1
where,1
whether,1
which,1
while,1
white,1
who,1
whole,1
why,1
wide,1
wife,1
wild,1
will,1
